Year,PM10_AQI,PM2.5_AQI,Acceptable_PM2.5_AQI,Max_AQI_Wildfire
1982,27,,,27.0
1983,14,,,14.0
1984,41,,,41.0
1985,10,,,10.0
1986,9,,,9.0
1987,16,,,16.0
1988,8,,,8.0
1989,21,,,21.0
1990,38,,,38.0
1991,32,,,32.0
1992,17,,,17.0
1993,30,,,30.0
1994,21,,,21.0
1995,35,,,35.0
1996,11,,,11.0
1997,35,,,35.0
1998,18,,,18.0
1999,23,75.0,,75.0
2000,12,54.0,50.0,54.0
2001,7,36.0,43.0,36.0
2002,9,52.0,54.0,52.0
2003,9,42.0,49.0,42.0
2004,10,51.0,39.0,51.0
2005,11,30.0,32.0,30.0
2006,5,58.0,61.0,58.0
2007,7,33.0,51.0,33.0
2008,7,29.0,35.0,29.0
2009,10,35.0,50.0,35.0
2010,6,15.0,49.0,15.0
2011,9,34.0,11.0,34.0
2012,10,52.0,49.0,52.0
2013,21,82.0,31.0,82.0
2014,9,23.0,42.0,23.0
2015,6,52.0,29.0,52.0
2016,5,55.0,55.0,55.0
2017,12,39.0,42.0,39.0
2018,9,60.0,59.0,60.0
2019,8,45.0,27.0,45.0
2020,19,61.0,28.0,61.0
2021,6,31.0,22.0,31.0
